Date,Artist,Song
9/13/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/14/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/15/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/16/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/17/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/18/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/19/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/20/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/21/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/22/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/23/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/24/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/25/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/26/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/27/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/28/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/29/1996,Los Del Rio,Macarena (Bayside Boys Mix)
9/30/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/1/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/2/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/3/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/4/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/5/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/6/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/7/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/8/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/9/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/10/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/11/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/12/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/13/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/14/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/15/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/16/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/17/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/18/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/19/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/20/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/21/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/22/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/23/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/24/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/25/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/26/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/27/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/28/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/29/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/30/1996,Los Del Rio,Macarena (Bayside Boys Mix)
10/31/1996,Los Del Rio,Macarena (Bayside Boys Mix)
11/1/1996,Los Del Rio,Macarena (Bayside Boys Mix)
11/2/1996,Los Del Rio,Macarena (Bayside Boys Mix)
11/3/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/4/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/5/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/6/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/7/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/8/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/9/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/10/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/11/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/12/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/13/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/14/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/15/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/16/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/17/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/18/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/19/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/20/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/21/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/22/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/23/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/24/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/25/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/26/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/27/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/28/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/29/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
11/30/1996,BLACKstreet (Featuring Dr. Dre),No Diggity
12/1/1996,Toni Braxton,Un-Break My Heart
12/2/1996,Toni Braxton,Un-Break My Heart
12/3/1996,Toni Braxton,Un-Break My Heart
12/4/1996,Toni Braxton,Un-Break My Heart
12/5/1996,Toni Braxton,Un-Break My Heart
12/6/1996,Toni Braxton,Un-Break My Heart
12/7/1996,Toni Braxton,Un-Break My Heart
12/8/1996,Toni Braxton,Un-Break My Heart
12/9/1996,Toni Braxton,Un-Break My Heart
12/10/1996,Toni Braxton,Un-Break My Heart
12/11/1996,Toni Braxton,Un-Break My Heart
12/12/1996,Toni Braxton,Un-Break My Heart
12/13/1996,Toni Braxton,Un-Break My Heart
12/14/1996,Toni Braxton,Un-Break My Heart
12/15/1996,Toni Braxton,Un-Break My Heart
12/16/1996,Toni Braxton,Un-Break My Heart
12/17/1996,Toni Braxton,Un-Break My Heart
12/18/1996,Toni Braxton,Un-Break My Heart
12/19/1996,Toni Braxton,Un-Break My Heart
12/20/1996,Toni Braxton,Un-Break My Heart
12/21/1996,Toni Braxton,Un-Break My Heart
12/22/1996,Toni Braxton,Un-Break My Heart
12/23/1996,Toni Braxton,Un-Break My Heart
12/24/1996,Toni Braxton,Un-Break My Heart
12/25/1996,Toni Braxton,Un-Break My Heart
12/26/1996,Toni Braxton,Un-Break My Heart
12/27/1996,Toni Braxton,Un-Break My Heart
12/28/1996,Toni Braxton,Un-Break My Heart
12/29/1996,Toni Braxton,Un-Break My Heart
12/30/1996,Toni Braxton,Un-Break My Heart
12/31/1996,Toni Braxton,Un-Break My Heart
1/1/1997,Toni Braxton,Un-Break My Heart
1/2/1997,Toni Braxton,Un-Break My Heart
1/3/1997,Toni Braxton,Un-Break My Heart
1/4/1997,Toni Braxton,Un-Break My Heart
1/5/1997,Toni Braxton,Un-Break My Heart
1/6/1997,Toni Braxton,Un-Break My Heart
1/7/1997,Toni Braxton,Un-Break My Heart
1/8/1997,Toni Braxton,Un-Break My Heart
1/9/1997,Toni Braxton,Un-Break My Heart
1/10/1997,Toni Braxton,Un-Break My Heart
1/11/1997,Toni Braxton,Un-Break My Heart
1/12/1997,Toni Braxton,Un-Break My Heart
1/13/1997,Toni Braxton,Un-Break My Heart
1/14/1997,Toni Braxton,Un-Break My Heart
1/15/1997,Toni Braxton,Un-Break My Heart
1/16/1997,Toni Braxton,Un-Break My Heart
1/17/1997,Toni Braxton,Un-Break My Heart
1/18/1997,Toni Braxton,Un-Break My Heart
1/19/1997,Toni Braxton,Un-Break My Heart
1/20/1997,Toni Braxton,Un-Break My Heart
1/21/1997,Toni Braxton,Un-Break My Heart
1/22/1997,Toni Braxton,Un-Break My Heart
1/23/1997,Toni Braxton,Un-Break My Heart
1/24/1997,Toni Braxton,Un-Break My Heart
1/25/1997,Toni Braxton,Un-Break My Heart
1/26/1997,Toni Braxton,Un-Break My Heart
1/27/1997,Toni Braxton,Un-Break My Heart
1/28/1997,Toni Braxton,Un-Break My Heart
1/29/1997,Toni Braxton,Un-Break My Heart
1/30/1997,Toni Braxton,Un-Break My Heart
1/31/1997,Toni Braxton,Un-Break My Heart
2/1/1997,Toni Braxton,Un-Break My Heart
2/2/1997,Toni Braxton,Un-Break My Heart
2/3/1997,Toni Braxton,Un-Break My Heart
2/4/1997,Toni Braxton,Un-Break My Heart
2/5/1997,Toni Braxton,Un-Break My Heart
2/6/1997,Toni Braxton,Un-Break My Heart
2/7/1997,Toni Braxton,Un-Break My Heart
2/8/1997,Toni Braxton,Un-Break My Heart
