Date,Artist,Song
8/29/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems
8/30/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems
8/31/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems
9/1/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems
9/2/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems
9/3/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems
9/4/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems
9/5/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems
9/6/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems
9/7/1997,Mariah Carey,Honey
9/8/1997,Mariah Carey,Honey
9/9/1997,Mariah Carey,Honey
9/10/1997,Mariah Carey,Honey
9/11/1997,Mariah Carey,Honey
9/12/1997,Mariah Carey,Honey
9/13/1997,Mariah Carey,Honey
9/14/1997,Mariah Carey,Honey
9/15/1997,Mariah Carey,Honey
9/16/1997,Mariah Carey,Honey
9/17/1997,Mariah Carey,Honey
9/18/1997,Mariah Carey,Honey
9/19/1997,Mariah Carey,Honey
9/20/1997,Mariah Carey,Honey
9/21/1997,Mariah Carey,Honey
9/22/1997,Mariah Carey,Honey
9/23/1997,Mariah Carey,Honey
9/24/1997,Mariah Carey,Honey
9/25/1997,Mariah Carey,Honey
9/26/1997,Mariah Carey,Honey
9/27/1997,Mariah Carey,Honey
9/28/1997,Boyz II Men,4 Seasons Of Loneliness
9/29/1997,Boyz II Men,4 Seasons Of Loneliness
9/30/1997,Boyz II Men,4 Seasons Of Loneliness
10/1/1997,Boyz II Men,4 Seasons Of Loneliness
10/2/1997,Boyz II Men,4 Seasons Of Loneliness
10/3/1997,Boyz II Men,4 Seasons Of Loneliness
10/4/1997,Boyz II Men,4 Seasons Of Loneliness
10/5/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight
10/6/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight
10/7/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight
10/8/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight
10/9/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight
10/10/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight
