date,event,day,year
4/4,"North Atlantic Treaty Organization (NATO) treaty signed in Washington, D.C..",4-Apr,1949
4/4,"US civil rights activist Martin Luther King Jr. assassinated in Memphis, Tennessee.",4-Apr,1968
4/4,"World Trade Center, then the world's tallest building, opens in New York (110 stories).",4-Apr,1973
4/4,Microsoft is founded as a partnership between Bill Gates and Paul Allen to develop and sell BASIC interpreters for the Altair 8800.,4-Apr,1975
4/5,Alexander Nevsky of Novgorod defeats Teutonic Knights in the Battle of the Ice.,5-Apr,1242
4/5,Dutch navigator Jacob Roggeveen discovers Easter Island.,5-Apr,1722
4/5,"In the Battle of Maipú, Chile's independence movement - led by Bernardo O'Higgins and José de San Martín - win a decisive victory over Spain, leaving 2,000 Spaniards and 1,000 Chilean patriots dead..",5-Apr,1818
4/5,"Birkenhead Park, the first civic public park, opens in Birkenhead, England, designed by Joseph Paxton.",5-Apr,1874
4/5,"Chile declares war on Bolivia and Peru, starting the War of the Pacific..",5-Apr,1879
4/6,"Cape Colony, the 1st European settlement in South Africa, established by Dutch East India Company under Jan van Riebeeck.",6-Apr,1652
4/6,"US declares war on Germany, enters World War I.",6-Apr,1917
4/6,"Rwandan Genocide begins with the assassination of Rwandan President Juvénal Habyarimana and Burundian President Cyprien Ntaryamira with their plane being shot down by surface-to-air missiles, abruptly ending peace negotiations. Those responsible have never been identified..",6-Apr,1994
4/7,Scholars' estimate for Jesus' crucifixion by Roman troops in Jerusalem.,7-Apr,30
4/7,First draft of Corpus Juris Civilis (fundamental work in jurisprudence) issued by Eastern Roman Emperor Justinian I.,7-Apr,529
4/7,World Health Organization formed by the United Nations.,7-Apr,1948
4/7,"US President Dwight D. Eisenhower in news conference is first to voice fear of a ""domino-effect"" of communism in Indo-China.",7-Apr,1954
4/7,The Internet's symbolic birth date: publication of RFC 1.,7-Apr,1969
4/7,The World Trade Organisation rules in favor of the United States in its long-running trade dispute with the European Union over bananas.,7-Apr,1999
4/8,Ayutthaya kingdom falls to Burmese invaders.,8-Apr,1767
4/8,William Ewart Gladstone introduces the first Irish Home Rule Bill into the British House of Commons..,8-Apr,1886
4/8,"Battle of Atbara River, Anglo-Egyptian forces crush 6,000 Sudanese.",8-Apr,1898
4/8,Opening of China's 1st parliament takes place in Peking (now Beijing).,8-Apr,1913
4/8,Darfur conflict: The Humanitarian Ceasefire Agreement is signed by the Sudanese government and two rebel groups.,8-Apr,2004
4/9,"Edward V (aged 12) succeeds his father Edward IV as king of England. He is never crowned, and disappears presumed murdered, after incarceration in the Tower of London with his younger brother Richard (the ""Princes in the Tower"").",9-Apr,1483
4/9,"British mariner Robert Jenkins' ear cut off by Spanish Guarde Costa in the Caribbean, later catalyst for war between Britain & Spain.",9-Apr,1731
4/9,"John Hancock refuses to allow two British customs agents to go below deck of his ship, considered by some to be the first act of physical resistance to British authority in the colonies.",9-Apr,1768
4/9,"Confederate General Robert E. Lee and 26,765 troops surrender at Appomattox Court House to US Lieutenant General Ulysses S Grant (US Civil War).",9-Apr,1865
4/9,Hudson Bay Company cedes its territory to Canada.,9-Apr,1869
4/9,John Major elected Prime Minister of the United Kingdom after his Conservative Party wins the most votes in British electoral history.,9-Apr,1992
4/9,Baghdad falls to U.S. forces ending the invasion of Iraqi but resulting in widespread looting.,9-Apr,2003
4/10,Lama Deshin Shekpa visits the Ming Dynasty capital at Nanjing and is awarded the title Great Treasure Prince of Dharma.,10-Apr,1407
4/10,1st Jewish ghetto established: Venice compels Jews to live in a specific area.,10-Apr,1516
4/10,"Mount Tambora in Dutch East Indies experiences cataclysmic eruption, one of the most powerful in history, killing around 71,000 people, causes global volcanic winter.",10-Apr,1815
4/10,"Big Ben, a 13.76 tonne bell, is recast at the Whitechapel Bell Foundry.",10-Apr,1858
4/10,"US, USSR & 70 other nations agree to ban biological weapons.",10-Apr,1972
4/10,The Good Friday/Belfast Agreement for Northern Ireland is signed by the British and Irish governments.,10-Apr,1998
4/11,Battle of Ravenna: French forces under Gaston de Foix defeat the Holy League in a major battle of the Italian Wars.,11-Apr,1512
4/11,Hostilities formally cease in the American Revolutionary War.,11-Apr,1783
4/11,Napoleon abdicates unconditionally; he is exiled to Elba.,11-Apr,1814
4/11,The Shogunate is abolished in Japan.,11-Apr,1868
4/11,"Chartered Air India plane the ""Kashmir Princess"" is bombed and crashes into the South China Sea in a failed assassination attempt on Zhou Enlai by a Kuomintang secret agent.",11-Apr,1955
4/11,US President Lyndon B. Johnson signs 1968 Civil Rights Act.,11-Apr,1968
4/11,"Tanzanian army captures Kampala, the capital of Uganda forcing Ugandan dictator Idi Amin to flee into exile in Libya.",11-Apr,1979
4/11,"Barack Obama and Raúl Castro meet in Panama, the 1st meeting of US and Cuban heads of state since the Cuban Revolution.",11-Apr,2015
4/12,4th Crusade occupies & plunders Constantinople.,12-Apr,1204
4/12,"1st US colonists on Pacific coast arrive at Cape Disappointment, Washington.",12-Apr,1811
4/12,"Jesse James gang robs bank in Columbia, Kentucky (1 dead/$1,500).",12-Apr,1872
4/12,Kuomintang leader Chiang Kai-shek begins counter revolution in Shanghai.,12-Apr,1927
4/12,Russian cosmonaut Yuri Gagarin becomes the first person to orbit Earth (Vostok 1).,12-Apr,1961
4/13,"The Seventh Crusade is defeated in Egypt, Louis IX of France captured.",13-Apr,1250
4/13,Edict of Nantes grants political rights to French Huguenots.,13-Apr,1598
4/13,"1st Pony Express reaches Sacramento, California.",13-Apr,1860
4/13,Abyssinian War ends as British and Indian troops capture Magdala and Ethiopian Emperor commits suicide.,13-Apr,1868
4/13,France becomes 4th nuclear nation exploding an A-Bomb in Sahara.,13-Apr,1960
4/14,US President Abraham Lincoln is shot by John Wilkes Booth at Ford's Theater in Washington.,14-Apr,1865
4/14,Dr Harry Plotz discovers vaccine against typhoid (NYC).,14-Apr,1903
4/14,RMS Titanic hits an iceberg at 11.40pm off Newfoundland.,14-Apr,1912
4/14,"Black Sunday: Severe sandstorm ravages the US Midwest, creating the ""Dust Bowl"".",14-Apr,1935
4/14,"1st Space Shuttle, Columbia 1, returns to Earth.",14-Apr,1981
4/14,The Human Genome Project is completed with 99% of the human genome sequenced to an accuracy of 99.99%.,14-Apr,2003
4/15,"Samuel Johnson's ""A Dictionary of the English Language"" published in London.",15-Apr,1755
4/15,1st telephone installed: Boston-Somerville in Massachusetts.,15-Apr,1877
4/15,RMS Titanic sinks at 2:27 AM off Newfoundland as the band plays on.,15-Apr,1912
4/16,"Queen Anne of England knights Isaac Newton at Trinity College, Cambridge.",16-Apr,1705
4/16,"Jacobite Rising 1745: Battle of Culloden, the last battle on British soil: Royalist troops under the Duke of Cumberland defeat the Jacobite army..",16-Apr,1746
4/16,US Post Office issues 1st books of postage stamps.,16-Apr,1900
4/16,"Vladimir Lenin issues his radical ""April Theses"" calling for Soviets to take power during the Russian Revolution [OS Apr 4].",16-Apr,1917
4/16,Organization for European Economic Cooperation (EEC) forms in Paris.,16-Apr,1948
4/16,Treaty of Accession is signed in Athens admitting 10 new member states to the European Union.,16-Apr,2003
4/17,"Geoffrey Chaucer's ""Canterbury Tales"" characters begin their pilgrimage to Canterbury (according to scholars).",17-Apr,1387
4/17,"Christopher Columbus signs a contract with the Spanish monarchs to find the ""Indies"" with the stated goal of converting people to Catholicism. This promises him 10% of all riches found, and the governorship of any lands encountered..",17-Apr,1492
4/17,Treaty of Shimonoseki is signed ending the First Sino-Japanese War (1894-95).,17-Apr,1895
4/17,"1,400 Cuban exiles land in Bay of Pigs in a doomed attempt to overthrow Fidel Castro.",17-Apr,1961
4/17,Proclamation of the Constitution Act by Canadian Prime Minister Pierre Trudeau.,17-Apr,1982
4/18,"Boles?aw Chrobry is crowned in Gniezno, becoming the first King of Poland.",18-Apr,1025
4/18,The cornerstone of the current St. Peter's Basilica is laid in the Vatican.,18-Apr,1506
4/18,"Paul Revere and William Dawes ride from Charlestown to Lexington warning the ""regulars are coming!"".",18-Apr,1775
4/18,"Fighting ceases in the American Revolution, eight years to the day when it began.",18-Apr,1783
4/18,"San Francisco earthquake and fire kills nearly 4,000 while destroying 75% of the city.",18-Apr,1906
4/18,Colonel Gamal Abdal Nasser seizes power & becomes Prime Minister of Egypt.,18-Apr,1954
4/19,British explorer Captain James Cook first sights Australia.,19-Apr,1770
4/19,"American Revolution begins in Lexington, Massachusetts. The ""Shot Heard Round the World"" took place in Concord later that day.",19-Apr,1775
4/19,Joan of Arc receives beatification by the Roman Catholic Church.,19-Apr,1909
4/19,Oklahoma City bombing - a truck bomb at Alfred P. Murrah Federal Building kills 168 & injures 500.,19-Apr,1995
4/19,Fidel Castro resigns from the Communist Party of Cuba's central committee after 45 years of holding the title..,19-Apr,2011
4/20,First pasteurization test completed by Frenchmen Louis Pasteur and Claude Bernard.,20-Apr,1862
4/20,Marie and Pierre Curie isolate the radioactive element radium chloride.,20-Apr,1902
4/20,"Balfour Declaration recognized, makes Palestine a British Mandate.",20-Apr,1920
4/20,"British politician Enoch Powell makes his controversial ""Rivers of Blood"" speech.",20-Apr,1968
4/20,Climax of Berber Spring in Algeria sees hundreds of Berber political activists arrested.,20-Apr,1980
4/20,"Columbine High School massacre: Eric Harris and Dylan Klebold kill 13 people and injure 24 others before committing suicide at Columbine High School, Colorado.",20-Apr,1999
4/20,"The Deepwater Horizon drilling rig explodes, killing 11 and causing the rig to sink, causing a massive oil discharge into the Gulf of Mexico and an environmental diaster.",20-Apr,2010
4/21,"Battle at Panipat: Central Asian conqueror Babur defeats Sultan Ibrahim Lodi, establishing the Mughal Empire in India.",21-Apr,1526
4/21,"Brazilian revolutionary Tiradentes, is hanged, drawn and quartered in Rio de Janeiro.",21-Apr,1792
4/21,"Bahá'u'lláh, founder of the Bahá'í Faith, enters garden of Rivden near Baghdad. He makes his declaration as a Messenger of God during the 12 days spent there.",21-Apr,1863
4/21,"World War I: German fighter ace Baron Manfred von Richthofen "" The Red Baron "", shot down and killed over Vaux sur Somme in France, Canadian pilot Arthur Roy Brown credited with the kill.",21-Apr,1918
4/21,Thousands of Chinese crowd into Beijing's Tiananmen Square cheering students demanding greater political freedom.,21-Apr,1989
4/22,"Pedro Álvares Cabral is the first european to discover Brazil, landing near Monte Pascoal, claims it for Portugal.",22-Apr,1500
4/22,"1st military use of poison gas (chlorine, by Germany) in WW I.",22-Apr,1915
4/22,Barbara Walters becomes 1st female nightly network news anchor (Today Show).,22-Apr,1976
4/22,Holocaust Memorial Museum dedicated in Washington D.C..,22-Apr,1993
4/22,"7,000 Tutsi's slaughtered by Hutu in the stadium at Kibuye, Rwanda.",22-Apr,1994
4/22,243 people are injured in pro-democracy protest in Nepal after Nepali security forces open fire on protesters against King Gyanendra..,22-Apr,2006
4/22,Paris Agreement on climate change signed in New York binding 195 nations to an increase in the global average temperature to less than 2°C above pre-industrial levels and to pursue efforts to limit the increase to 1.5°C.,22-Apr,2016
4/23,"King Brian Boru of Ireland defeats Viking forces at Battle of Clontarf, freeing Ireland from foreign control.",23-Apr,1014
4/23,"William Shakespeare's ""The Merry Wives of Windsor"" is first performed, with Queen Elizabeth I of England in attendance.",23-Apr,1597
4/23,Robert E. Lee named commander of Virginia Confederate forces (US Civil War).,23-Apr,1861
4/23,"1st decimal coins issued in Britain (5 & 10 new pence, replacing shilling and two-shilling pieces).",23-Apr,1968
4/23,AIDS-virus identified as HTLV-III (acquired immune deficiency syndrome).,23-Apr,1984
4/24,"Russo-Turkish War, 1877-78: Russia declares war on the Ottoman Empire.",24-Apr,1877
4/24,Spanish-American War: Spain declares war after rejecting US ultimatum to withdraw from Cuba.,24-Apr,1898
4/24,Easter Rising of Irish republicans against British occupation begins in Dublin.,24-Apr,1916
4/24,"Vietnam War: American General William Westmoreland says in a news conference that the enemy had ""gained support in the United States that gives him hope that he can win politically that which he cannot win militarily."".",24-Apr,1967
4/25,English Convention Parliament meets and votes to restore Charles II.,25-Apr,1660
4/25,"Guillotine first used in France, executes highwayman Nicolas Pelletier.",25-Apr,1792
4/25,"Thornton Affair: Open conflict begins over the disputed border of Texas, triggering the Mexican-American War.",25-Apr,1846
4/25,"Elbe Day - US and Soviet forces meet at Torgau, Germany on the Elbe River during the invasion of Germany in WWII.",25-Apr,1945
4/25,"Francis Crick and James Watson's discovery of the double helix structure of DNA is published in ""Nature"" magazine.",25-Apr,1953
4/25,Bell labs announces the 1st solar battery made from silicon. It has about 6% efficiency..,25-Apr,1954
4/25,Hubble space telescope is placed into orbit by shuttle Discovery.,25-Apr,1990
4/26,Pazzi conspirators attack Lorenzo de'Medici and kill Giuliano de'Medici in Florence.,26-Apr,1478
4/26,"Harlow Shapley and Heber D. Curtis hold ""great debate"" on the nature of nebulae, galaxies and size of the universe at US National Academy of Sciences, Washington, D.C..",26-Apr,1920
4/26,"Marshal Henri Philippe Petain, leader of France's Vichy collaborationist regime during WW II, arrested for treason.",26-Apr,1945
4/26,"First modern container ship, the Ideal X, leaves Port Newark, New Jersey for Houston, Texas.",26-Apr,1956
4/26,"World's worst nuclear disaster: 4th reactor at Chernobyl nuclear power station in USSR explodes, 31 die, radioactive contamination reaches much of Western Europe.",26-Apr,1986
4/26,"Under international pressure, Syria withdraws the last of its 14,000 troop military garrison in Lebanon, ending its 29-year military domination of that country..",26-Apr,2005
4/27,1st Spanish settlement in Philippines forms at Cebu City.,27-Apr,1565
4/27,"Steamboat ""SS Sultana"" explodes in the Mississippi River, killing up to 1,800 of the 2,427 passengers in the greatest maritime disaster in United States history. Most were paroled Union POWs on their way home..",27-Apr,1865
4/27,The Australian Labor Party under Prime Minister Chris Watson becomes the first Labor government in the world.,27-Apr,1904
4/27,Italian partisans capture Benito Mussolini at Dongo (Lake Como).,27-Apr,1945
4/27,"The Superjumbo jet aircraft Airbus A380 makes its first flight from Toulouse, France.",27-Apr,2005
4/28,"Establishment of the Pontifical and Royal University of Santo Tomas, The Catholic University of the Philippines, oldest existing university in Asia and largest Catholic university in the world.",28-Apr,1611
4/28,"British Captain James Cook, aboard the endeavour, lands at Botany Bay in Australia.",28-Apr,1770
4/28,Fletcher Christian leads a mutiny on HMS Bounty against its captain William Bligh in the South Pacific.,28-Apr,1789
4/28,First night air flight by Claude Grahame-White in England.,28-Apr,1910
4/28,1st commercial flight across Pacific operated by Pan Am.,28-Apr,1937
4/28,"Andreas Baader and members of terrorist group the Red Army Faction (Baader-Meinhof Gang) jailed for life after a trial lasting nearly 2 years in Stuttgart, Germany.",28-Apr,1977
4/29,New Orleans falls to Union forces during US Civil War.,29-Apr,1862
4/29,"Battle of Gate Pa (Pukehinahina): 1,700 British troops suffer their worst defeat of the New Zealand Wars at the hands of 230 entrenched Maori warriors in Tauranga.",29-Apr,1864
4/29,"Irish republicans abandon the post office in Dublin and surrender unconditionally, marking the end of the Easter Rising.",29-Apr,1916
4/29,"US Army liberates 31,601 in Nazi concentration camp in Dachau, Germany.",29-Apr,1945
4/29,"Vietnam War: US begins to evacuate its citizens from Saigon in Operation Frequent Wind in response to advancing North Vietnamese forces, bringing an end to US involvement in the war.",29-Apr,1975
4/29,Wrecking cranes began tearing down the Berlin Wall at the Brandenburg Gate.,29-Apr,1990
4/29,"Cyclone strikes the Chittagong district in Bangladesh, killing 139,000 people and leaving 10 million homeless.",29-Apr,1991
4/29,"The Chemical Weapons Convention of 1993 comes into force, outlaws production, stockpiling and use of chemical weapons among its signatories..",29-Apr,1997
4/30,"Roman Emperor Galerius issues Edict of Toleration, ending persercution of Christians in the Roman Empire.",30-Apr,311
4/30,Islamic conquest of Iberia: Moorish troops led by Tariq ibn-Ziyad land at Gibraltar to begin their invasion of the Iberian Peninsula (Al-Andalus).,30-Apr,711
4/30,1st French colonists in North America: Jean Ribault & colonists arrive in Florida.,30-Apr,1562
4/30,George Washington is inaugurated as the first President of the United States of America.,30-Apr,1789
4/30,"Charles Dickens' ""A Tale Of Two Cities"" is first published in literary periodical ""All the Year Round"" (weekly installments until Nov 26).",30-Apr,1859
4/30,Chrysler automobile company files for Chapter 11 bankruptcy.,30-Apr,2009
5/1,"Acts of Union comes into force, uniting England and Scotland to form the United Kingdom of Great Britain.",1-May,1707
5/1,"Publication of Species Plantarum by Linnaeus, and the formal start date of plant taxonomy adopted by the International Code of Botanical Nomenclature.",1-May,1753
5/1,"First emigrant wagon train leaves Independence, Missouri, for California.",1-May,1841
5/1,US general strike for 8-hour working day begins.,1-May,1886
5/1,Empire State Building opens in New York City.,1-May,1931
5/2,"More than 1,000,000 German soldiers officially surrender to the Western Allies in Italy and Austria.",2-May,1945
5/2,World War II: Battle of Berlin ends as Soviet army takes Berlin and General Weidling surrenders.,2-May,1945
5/2,"Arthur Miller wins Pulitzer Prize for ""Death of a Salesman"".",2-May,1949
5/2,"Falklands War: Argentine cruiser General Belgrano sunk by British submarine Conqueror, killing more than 350 men.",2-May,1982
5/2,"Cyclone Nargis makes landfall in Myanmar killing over 130,000 people and leaving millions of people homeless.",2-May,2008
5/2,"Osama bin Laden, the suspected mastermind behind the September 11 attacks and the FBI's most wanted man is killed by US special forces in Abbottabad, Pakistan.",2-May,2011
5/3,The Constitution of May 3 (the first modern constitution in Europe) is proclaimed by the Sejm of Polish-Lithuanian Commonwealth..,3-May,1791
5/3,British General Strike: Trade Union Congress calls for a general strike 1 minute to midnight to support striking coal miners.,3-May,1926
5/3,"Margaret Mitchell wins Pulitzer Prize for ""Gone With the Wind"".",3-May,1937
5/3,"World War II: German ship ""Cap Arcona"" laden with prisoners sunk by Royal Air Force in East Sea, 5,800 killed - one of largest maritime losses of life.",3-May,1945
5/3,"Japan's post-war constitution goes into effect, granting universal suffrage, stripping Emperor Hirohito of all but symbolic power and outlawing Japan's right to make war.",3-May,1947
5/4,"Battle of Tewkesbury, Gloucestershire, final battle between the Houses of Lancaster and York: Prince of Wales, Edward of Westminster killed and King Edward IV restored to his throne. Re-restores political stability to England until his death in 1483..",4-May,1471
5/4,"King Ferdinand VII of Spain signs the Decree of the 4th of May, returning Spain to absolutism.",4-May,1814
5/4,Construction begins by the United States on the Panama Canal..,4-May,1904
5/4,Margaret Thatcher becomes the first woman to be elected Prime Minister of the United Kingdom.,4-May,1979
5/5,"Kublai Khan, grandson of Genghis Khan, becomes ruler of the Mongol Empire.",5-May,1260
5/5,Ethiopian Emperor Haile Selassie returns to Addis Ababa.,5-May,1941
5/5,West Germany is granted full sovereignty by its three occupying powers.,5-May,1955
5/5,First large-scale US Army ground units arrive in South Vietnam.,5-May,1965
5/5,Siege at Iranian Embassy in London ends as the SAS and police storm the building.,5-May,1980
5/5,"After 66 days on hunger strike, 26 year old MP Bobby Sands dies in the Maze Prision; 9 further hunger strikers die in the next 3 months.",5-May,1981
5/6,Dutch colonist Peter Minuit organizes the purchase of Manhattan Island from native American for 60 guilders worth of goods.,6-May,1626
5/6,"World's first adhesive postage stamp, the ""Penny Black"", is first used in Great Britain.",6-May,1840
5/6,Exposition Universelle (World's Fair) in Paris opens with the recently completed Eiffel Tower serving as the entrance arch.,6-May,1889
5/6,Joseph Stalin becomes Premier of the Soviet Union.,6-May,1941
5/6,"Roger Bannister of the UK becomes the 1st person to run a 4 minute mile, recording 3:59:4 at Iffley Road, Oxford.",6-May,1954
5/7,English siege of Orleans broken by Joan of Arc and the French army.,7-May,1429
5/7,"Columbia University approves plans for awarding the Pulitzer Prize in several categories, after established by Joseph Pulitzer.",7-May,1912
5/7,RMS Lusitania sunk by German submarine off the southern coast of Ireland; 1198 lives lost.,7-May,1915
5/7,Germany and Italy announce an alliance known as the Rome-Berlin Axis.,7-May,1939
5/7,World War II: Unconditional German surrender to the Allies signed by General Alfred Jodl at Rheims.,7-May,1945
5/7,"The concept of the integrated circuit, the basis for all modern computers, is first published by Geoffrey Dummer.",7-May,1952
5/7,Emmanuel Macron wins France's presidential election defeating Marine Le Pen.,7-May,2017
5/8,English parliament declares Charles Stuart to be King Charles II of England.,8-May,1660
5/8,"1st installment of Hans Christian Andersen ""Fairy Tales"" published by C. A. Reitzel in Copenhagen, Denmark.",8-May,1835
5/8,China cedes Taiwan to Japan under Treaty of Shimonoseki.,8-May,1895
5/8,"Mount Pelée on the French overseas island of Martinique erupts, wiping out the city of Saint-Pierre, killing 30,000 and leaving only two survivors.",8-May,1902
5/8,V-E Day: WWII ends in Europe after Germany signs an unconditional surrender.,8-May,1945
5/8,World Health Organization announces smallpox has been eradicated.,8-May,1980
5/8,A new Northern Ireland Executive is formed with Ian Paisley (Democratic Unionist Party) as First Minister and Martin McGuinness (Sinn Féin) as Deputy First Minister.,8-May,2007
5/9,Treaty of Windsor between Portugal and England (oldest diplomatic alliance in the world still in force).,9-May,1386
5/9,President Andrew Johnson issues a proclamation declaring armed resistance in the South is virtually at an end; this is the commonly accepted end date of the American Civil War.,9-May,1865
5/9,"The first Australian Parliament opens in Melbourne, though the first working session will not be until 21 May.",9-May,1901
5/9,British intelligence at Bletchley Park breaks German spy codes after capturing Enigma machines aboard the weather ship Muenchen.,9-May,1941
5/9,World War II: The Soviet Union marks Victory Day.,9-May,1945
5/9,US becomes the first country to legalize the birth control pill.,9-May,1960
5/9,"Historic win in Malaysian general election by opposition coalition Pakatan Harapan led by former Prime Minister Dr. Mahathir bin Mohamad, defeating Prime Minister Najib Razak and ending 61 years of rule by the Barisan Nasional coalition.",9-May,2018
5/10,"Second Continental Congress convenes in Philadelphia, Pennsylvania and issues paper currency for 1st time.",10-May,1775
5/10,First Barbary War: The Barbary pirates of Tripoli declare war on the United States of America (1st US foreign war).,10-May,1801
5/10,Indian Mutiny against rule by the British East India Company begins with the revolt of the Sepoy soldiers in Meerut.,10-May,1857
5/10,Winston Churchill succeeds Neville Chamberlain as British Prime Minister.,10-May,1940
5/10,US atomic submarine USS Triton completes 1st submerged circumnavigation of the globe.,10-May,1960
5/10,Nelson Mandela sworn in as South Africa's 1st black president.,10-May,1994
5/11,Constantinople (Byzantium) becomes the capital of the Roman Empire.,11-May,330
5/11,"Holy Roman Emperor Frederick I Barbarossa and 100,000 crusaders depart Regensburg for the Third Crusade.",11-May,1189
5/11,Pennsylvania Hospital founded by Dr. Thomas Bond and Benjamin Franklin.,11-May,1751
5/11,Daimler-Motoren-Gesellschaft and Benz & Cie begin their first joint venture (later merge into Mercedes-Benz).,11-May,1924
5/11,"In New York City, more than 170 countries decide to extend the Nuclear Nonproliferation Treaty indefinitely and without conditions..",11-May,1995
5/11,India's population officially reaches 1 billion - Astha Arora named India's billionth baby.,11-May,2000
5/12,"William Wilberforce makes his first major speech on abolition in the UK House of Commons, reasoning the slave trade morally reprehensible and an issue of natural justice.",12-May,1789
5/12,Nazi blitzkrieg conquest of France began by crossing Muese River.,12-May,1940
5/12,Axis forces in North Africa surrender.,12-May,1943
5/12,"Former US President Jimmy Carter arrives in Cuba for a five-day visit with Fidel Castro becoming first President of the United States, in or out of office, to visit the island since Castro's 1959 revolution..",12-May,2002
5/12,"Wenchuan earthquake, measuring 7.8 in magnitude occurs in Sichuan, China, killing over 87,000, injuring 374,643 and leaving homeless between 4.8 million and 11 million people.",12-May,2008
5/13,"Arthur Phillip sets sails with 11 ships of criminals to Botany Bay, Australia.",13-May,1787
5/13,"Republic of Ecuador is founded, with Juan Jose Flores as president.",13-May,1830
5/13,Great dustbowl storm sweeps across US prairies.,13-May,1934
5/13,"Winston Churchill says ""I have nothing to offer but blood, toil, tears & sweat"" in his first speech as Prime Minister to British House of Commons.",13-May,1940
5/13,"Pope John Paul II is shot and critically wounded by Turkish gunman Mehemet Ali Agca in St Peter's Square, Vatican City.",13-May,1981
5/13,"Approx 2,000 students begin hunger strike in Tiananmen Square, China.",13-May,1989
5/14,Delegates gather in Philadelphia to draw up US constitution.,14-May,1787
5/14,"English country doctor Edward Jenner administers the first inoculation against smallpox, using cowpox pus, in Berkeley, Gloucestershire.",14-May,1796
5/14,Meriwether Lewis & William Clark's expedition commissioned by Thomas Jefferson sets out from St Louis for Pacific Coast.,14-May,1804
5/14,Israel declares independence from British administration.,14-May,1948
5/15,"Pope Innocent IV issues the papal bull ad exstirpanda, which authorizes, but also limits, the torture of heretics in the Medieval Inquisition.",15-May,1252
5/15,"German astronomer Johannes Kepler discovers the third of his three planetary laws his ""harmonics law"".",15-May,1618
5/15,"National Woman Suffrage Association forms in New York, founded by Susan B. Anthony and Elizabeth Cady Stanton.",15-May,1869
5/15,"McDonald's opens its first restaurant in San Bernardino, California.",15-May,1940
5/15,"AT&T becomes the 1st US corporation to have a million stockholders after young car salesman Brady Denton purchases 7 shares worth $1,078.",15-May,1951
5/15,"USSR begins withdrawing its 115,000 troops from Afghanistan.",15-May,1988
5/16,Joan of Arc (Jeanne D'arc) canonized a saint.,16-May,1920
5/16,"Operation Chastise: No. 617 Squadron RAF begins the famous dambusters Raid, bombing the Möhne and Eder dams in the Ruhr valley with bouncing bombs.",16-May,1943
5/16,"1st of 180,000+ Hungarian Jews reach Auschwitz.",16-May,1944
5/16,Human stem cells are successfully cloned.,16-May,2013
5/17,Pánfilo de Narváez departs Spain to explore Florida with 600 men - by 1536 only 4 survive.,17-May,1527
5/17,24 merchants form New York Stock Exchange at 70 Wall Street.,17-May,1792
5/17,John Hawkins & Richard French patent the Reaping Machine.,17-May,1803
5/17,Senate Watergate Committee begins its hearings.,17-May,1973
5/17,Massachusetts becomes the first U.S. state to legalize same-sex marriage.,17-May,2004
5/17,"The center-right Hindu Nationalist Party, the BJP, wins landslide election victory in India.",17-May,2014
5/18,Mamluk Sultan Al-Ashraf Khalil and his forces take the last Christian stronghold of Acre.,18-May,1291
5/18,"After 100 years of crusader control, Acre is the last crusader stronghold reconquered and destroyed by the Mamluks under Sultan al-Ashraf Khalil.",18-May,1291
5/18,Napoleon Bonaparte proclaimed Emperor of France by the French Senate.,18-May,1804
5/18,"Khodynka Tragedy: A mass panic on Khodynka Field, Moscow, during the festivities of the coronation of Russian Tsar Nicholas II, results in the deaths of 1,389 people.",18-May,1896
5/18,India becomes the sixth nation to explode an atomic bomb.,18-May,1974
5/18,"Sri Lankan Civil War: The LTTE are defeated by the Sri Lankan government, ending almost 26 years of fighting between the two sides..",18-May,2009
5/19,"Anne Boleyn, second wife of English King Henry VIII, is beheaded at the Tower of London on charges of adultery, incest and treason.",19-May,1536
5/19,"Massachusetts Bay, Plymouth, Connecticut and New Harbor form the United Colonies of New England.",19-May,1643
5/19,England is declared a Commonwealth by an act of the Long Parliament making England a republic for the next 11 years.,19-May,1649
5/19,German Chancellor Otto von Bismarck takes possession of Cameroon and Togoland.,19-May,1885
5/19,"US Congress passes the Private Mailing Card Act, allowing private publishers and printers to produce postcards, had to be labelled ""Private Mailing Cards"" until 1901, known as ""souvenir cards"".",19-May,1898
5/19,"Mustafa Kemal Atatürk lands at Samsun on the Black Sea coast, beginning the Turkish War of Independence.",19-May,1919
5/20,"Portuguese explorer Vasco da Gama arrives at Calicut, India becoming the first European to reach India by sea.",20-May,1498
5/20,"Shakespeare's Sonnets are first published in London, perhaps illicitly, by publisher Thomas Thorpe.",20-May,1609
5/20,US Homestead Act becomes law which provides cheap land for the settlement of the American West.,20-May,1862
5/20,"Spotsylvania campaign in US Civil War ends after 10,920 killed or injured.",20-May,1864
5/20,"At 7:40 AM, Charles Lindbergh takes off from New York to cross the Atlantic for Paris, aboard Spirit of St Louis (1st non-stop flight).",20-May,1927
5/20,Saudi Arabia becomes independent of Great Britain in the Treaty of Jeddah.,20-May,1927
5/20,Hubble Space Telescope sends its 1st photographs from space.,20-May,1990
5/21,"Mount Unzen on Japan's Shimabara Peninsula, erupts creating a tsunami, killing about 15,000; Japan's deadliest volcanic eruption.",21-May,1792
5/21,1st Democratic National Convention (Baltimore).,21-May,1832
5/21,"-July 28] French regular troops attack Commune of Paris; 17,000 die.",21-May,1871
5/21,"Aviator Charles Lindbergh, in the Spirit of St Louis, lands in Paris after the first solo air crossing of Atlantic.",21-May,1927
