date,event,day,year
3/3,Battle of the Bismarck Sea: Australian and American air forces devastate Japanese navy convoy.,3-Mar,1943
3/3,"Los Angeles police officers severely beat motorist Rodney King, the beating is famously captured on amateur video and later leads to riots when the police officers are acquitted.",3-Mar,1991
3/4,"Battle of the Sit River: Mongol forces of Batu Khan overcome Russians under Yuri II of Vladimir-Suzdal near Yaroslavl in Russia, ending Russian resistance.",4-Mar,1238
3/4,"Thomas Jefferson is the first US President to be inaugurated in Washington, D.C..",4-Mar,1801
3/4,Abraham Lincoln is inaugurated as the 16th US President.,4-Mar,1861
3/4,American Automobile Association (AAA) founded in Chicago.,4-Mar,1902
3/4,"First recorded case of Spanish flu at Funston Army Camp, Kanas; start of worldwide pandemic killing 50-100 million.",4-Mar,1918
3/4,"Franklin D. Roosevelt inaugurated as 32nd US President, pledges to pull US out of the Depression, ""We have nothing to fear but fear itself"".",4-Mar,1933
3/4,"1st flight of the airship Hindenburg at Friedrichshafen, Germany.",4-Mar,1936
3/4,International Criminal Court issues an arrest warrant for Sudanese President Omar Hassan al-Bashir for war crimes and crimes against humanity in Darfur becoming the first sitting head of state to be indicted.,4-Mar,2009
3/5,"Roman Emperor Julian moves from Antioch with an army of 90,000 to attack the Sassanid Empire, in a campaign that brings about his own death.",5-Mar,363
3/5,Persian scholar Naser Khosrow begins the 7 year Middle Eastern journey which he will later describe in his book Safarnama.,5-Mar,1046
3/5,English King Henry VII grants John Cabot (Giovanni Caboto) a commission to explore for new lands.,5-Mar,1496
3/5,"Boston Massacre (Incident on King Street): British soldiers kill 5 men in a crowd throwing snowballs, stones and sticks at them. African American Crispus Attucks 1st to die; later held up as early black martyr. Massacre galvanizes anti-British feelings..",5-Mar,1770
3/5,"Winston Churchill's ""Iron Curtain"" speech in Fulton, Missouri, popularizes the term and draws attention to the division of Europe.",5-Mar,1946
3/6,Treaty of Alcaçovas: Portugal gives the Canary Islands to Castile in exchange for claims in West Africa.,6-Mar,1479
3/6,"Battle of the Alamo: After 13 days of fighting 1,500-3,000 Mexican soldiers overwhelm the Texan defenders, killing 182-257 Texans including William Travis, Jim Bowie and Davy Crockett.",6-Mar,1836
3/6,Dred Scott Decision: US Supreme Court rules Africans cannot be US citizens.,6-Mar,1857
3/6,Dmitri Mendeleev presents the first periodic table of the elements to the Russian Chemical Society.,6-Mar,1869
3/6,Aspirin (acetylsalicylic acid) patented by Felix Hoffmann at German company Bayer.,6-Mar,1899
3/7,"Roman Emperor Antoninus Pius dies and is succeeded by co-Emperors Marcus Aurelius and Lucius Verus, an unprecedented political arrangement in the Roman Empire.",7-Mar,161
3/7,English King Henry VIII's divorce request is denied by the Pope..,7-Mar,1530
3/7,Alexander Graham Bell receives a patent for the telephone in the US.,7-Mar,1876
3/7,Roald Amundsen announces discovery of the South Pole.,7-Mar,1912
3/7,Hitler breaks Treaty of Versailles by sending troops to the Rhineland.,7-Mar,1936
3/8,Henry VIII recognised as supreme head of Church in England by the Convocation of Canterbury.,8-Mar,1531
3/8,The New York Stock Exchange is founded.,8-Mar,1817
3/8,"British North America Act is passed in the House of Commons, serves as Canada's constitution for more than 100 years.",8-Mar,1867
3/8,"Russian ""February Revolution"" begins in earnest with protests celebrating International Woman's Day and riots in St Petersburg over food rations and conduct of the war [OS=Feb 23].",8-Mar,1917
3/8,US Supreme Court rules in McCollum v. Board of Education that religious instruction in public schools is unconstitutional.,8-Mar,1948
3/8,"The Provisional Irish Republican Army undertakes its first operation in Great Britain, planting four car bombs in London; 10 members of PIRA are arrested at Heathrow Airport while trying to leave the country.",8-Mar,1973
3/8,"Malaysia Airlines Flight 370 with 239 people loses contact and disappears, prompting the most expensive search effort in history.",8-Mar,2014
